Date,avg_Temperature
2023-01-01,-4.3462396
2023-01-02,-1.2506685
2023-01-03,-1.8626094
2023-01-04,-2.497962
2023-01-05,-2.77482
2023-01-06,-2.1996021
2023-01-07,-1.6088686
2023-01-08,0.28638214
2023-01-09,1.3104994
2023-01-10,0.5113404
2023-01-11,-7.211998
2023-01-12,-7.7451715
2023-01-13,-6.4819636
2023-01-14,-4.829288
2023-01-15,-1.0409682
2023-01-16,-2.0012708
2023-01-17,-5.774226
2023-01-18,-5.606765
2023-01-19,-5.3251286
2023-01-20,-5.021269
2023-01-21,-2.7320776
2023-01-22,0.27448586
2023-01-23,2.006789
2023-01-24,4.583885
2023-01-25,2.820826
2023-01-26,1.3067234
2023-01-27,-1.114943
2023-01-28,-2.7168465
2023-01-29,-3.604331
2023-01-30,-2.8162737
2023-01-31,-0.720679
2023-02-01,-1.302623
2023-02-02,-3.3570228
2023-02-03,-3.3779907
2023-02-04,-5.1593637
2023-02-05,-6.5932503
2023-02-06,-3.8970766
2023-02-07,-2.5111132
2023-02-08,-0.12989074
2023-02-09,1.007978
2023-02-10,1.4057584
2023-02-11,2.8816457
2023-02-12,4.7728453
2023-02-13,4.796256
2023-02-14,2.540457
2023-02-15,-4.5355334
2023-02-16,-7.3067446
2023-02-17,-6.2404013
2023-02-18,-1.2459941
2023-02-19,-1.7139094
2023-02-20,-4.7648277
2023-02-21,-2.9927206
2023-02-22,-4.4928036
2023-02-23,-5.6167307
2023-02-24,-2.4172258
2023-02-25,2.9640868
2023-02-26,5.4225974
2023-02-27,3.7383082
2023-02-28,6.766574
2023-03-01,5.8059764
2023-03-02,3.534116
2023-03-03,5.7786827
2023-03-04,6.885259
2023-03-05,2.322746
2023-03-06,1.3961651
2023-03-07,2.806075
2023-03-08,5.9980726
2023-03-09,7.1066904
2023-03-10,9.29356
2023-03-11,11.1757965
2023-03-12,12.761795
2023-03-13,11.681543
2023-03-14,8.140597
2023-03-15,7.1334424
2023-03-16,10.238402
2023-03-17,10.682688
2023-03-18,7.4613376
2023-03-19,3.3770077
2023-03-20,5.375753
2023-03-21,4.957059
2023-03-22,7.0680037
2023-03-23,6.190969
2023-03-24,8.188787
2023-03-25,12.00989
2023-03-26,11.80202
2023-03-27,8.069321
2023-03-28,8.146305
2023-03-29,9.669451
2023-03-30,10.796659
2023-03-31,10.930227
2023-04-01,9.211812
2023-04-02,8.184511
2023-04-03,9.596611
2023-04-04,10.317077
2023-04-05,10.337535
2023-04-06,11.71231
2023-04-07,10.932722
2023-04-08,12.906768
2023-04-09,17.782024
2023-04-10,18.195023
2023-04-11,19.559116
2023-04-12,19.306755
2023-04-13,13.256943
2023-04-14,13.266644
2023-04-15,13.336103
2023-04-16,13.253792
2023-04-17,14.056609
2023-04-18,15.257667
2023-04-19,15.255361
2023-04-20,15.755172
2023-04-21,16.340319
2023-04-22,15.015353
2023-04-23,17.740152
2023-04-24,18.517235
2023-04-25,20.026594
2023-04-26,21.877253
2023-04-27,17.765976
2023-04-28,18.244108
2023-04-29,13.527955
2023-04-30,13.127819
2023-05-01,13.468962
2023-05-02,14.254845
